epochs,time,HR,NDCG,ACC,ACC_adv,time,P,Q
1000,[8.5s + 86.3s],0.3339,0.0828,0.9957,0.9988,[549.4s],835.31,597.75
1020,[5.9s + 83.0s],0.3424,0.0857,0.9917,0.9942,[419.7s],900.54,628.02
1040,[5.9s + 83.6s],0.3445,0.0864,0.9921,0.9938,[444.1s],919.98,640.36
1060,[5.9s + 83.3s],0.3453,0.0867,0.9922,0.9937,[697.1s],933.15,649.30
1080,[5.9s + 83.5s],0.3457,0.0871,0.9923,0.9935,[824.3s],943.62,656.55
1100,[5.9s + 83.6s],0.3461,0.0873,0.9926,0.9938,[684.8s],952.44,662.81
1120,[5.9s + 83.7s],0.3464,0.0874,0.9929,0.9938,[612.4s],960.20,668.35
1140,[5.8s + 81.6s],0.3472,0.0877,0.9928,0.9937,[427.6s],967.18,673.37
1160,[5.7s + 81.9s],0.3469,0.0875,0.9930,0.9938,[603.7s],973.63,678.01
1180,[5.6s + 82.0s],0.3475,0.0875,0.9930,0.9938,[446.2s],979.58,682.29
1200,[5.8s + 81.9s],0.3480,0.0876,0.9933,0.9940,[547.9s],985.16,686.31
1220,[5.8s + 82.1s],0.3476,0.0876,0.9932,0.9940,[524.4s],990.36,690.09
1240,[5.7s + 81.8s],0.3481,0.0878,0.9933,0.9940,[491.3s],995.34,693.69
1260,[5.8s + 81.9s],0.3477,0.0877,0.9935,0.9941,[509.9s],1000.09,697.10
1280,[5.8s + 81.9s],0.3473,0.0877,0.9934,0.9941,[498.8s],1004.60,700.35
1300,[5.8s + 81.8s],0.3480,0.0878,0.9935,0.9940,[643.9s],1008.93,703.46
1320,[5.8s + 82.0s],0.3481,0.0878,0.9935,0.9941,[553.1s],1013.09,706.45
1340,[5.8s + 81.9s],0.3473,0.0876,0.9937,0.9942,[651.9s],1017.10,709.33
1360,[5.8s + 81.9s],0.3480,0.0877,0.9936,0.9941,[699.9s],1020.98,712.12
1380,[5.8s + 82.1s],0.3479,0.0877,0.9937,0.9943,[876.9s],1024.73,714.80
1400,[5.8s + 82.3s],0.3471,0.0877,0.9937,0.9942,[809.9s],1028.38,717.42
1420,[5.8s + 82.0s],0.3475,0.0876,0.9938,0.9943,[799.9s],1031.90,719.92
1440,[5.8s + 82.0s],0.3471,0.0876,0.9940,0.9945,[678.6s],1035.33,722.37
1460,[5.8s + 82.2s],0.3472,0.0876,0.9940,0.9945,[852.4s],1038.68,724.74
1480,[5.8s + 82.1s],0.3472,0.0877,0.9939,0.9944,[775.1s],1041.93,727.04
1500,[5.8s + 82.0s],0.3465,0.0875,0.9940,0.9944,[796.1s],1045.11,729.31
1520,[5.8s + 82.1s],0.3465,0.0875,0.9941,0.9945,[826.5s],1048.22,731.51
1540,[5.8s + 82.1s],0.3467,0.0875,0.9941,0.9946,[985.4s],1051.24,733.67
1560,[5.8s + 82.1s],0.3465,0.0874,0.9941,0.9946,[900.2s],1054.20,735.76
1580,[5.8s + 82.1s],0.3469,0.0875,0.9941,0.9945,[859.6s],1057.10,737.81
1600,[5.8s + 82.1s],0.3473,0.0875,0.9942,0.9946,[867.7s],1059.94,739.82
1620,[5.8s + 82.1s],0.3470,0.0875,0.9942,0.9946,[910.5s],1062.72,741.79
1640,[5.8s + 82.1s],0.3471,0.0876,0.9942,0.9946,[927.5s],1065.45,743.71
1660,[5.8s + 82.0s],0.3466,0.0876,0.9942,0.9946,[861.8s],1068.12,745.59
1680,[5.8s + 82.0s],0.3468,0.0876,0.9944,0.9948,[911.2s],1070.74,747.43
1700,[5.8s + 82.0s],0.3465,0.0876,0.9944,0.9947,[974.4s],1073.32,749.25
1720,[5.8s + 81.9s],0.3463,0.0875,0.9944,0.9948,[919.3s],1075.87,751.05
1740,[5.8s + 82.1s],0.3466,0.0875,0.9944,0.9947,[912.1s],1078.36,752.79
1760,[5.8s + 82.1s],0.3461,0.0874,0.9945,0.9949,[1086.4s],1080.81,754.52
1780,[5.8s + 82.1s],0.3462,0.0873,0.9945,0.9948,[1108.4s],1083.22,756.20
1800,[5.8s + 82.0s],0.3467,0.0875,0.9945,0.9948,[1046.5s],1085.60,757.86
1820,[5.8s + 81.8s],0.3467,0.0875,0.9945,0.9949,[1057.3s],1087.94,759.50
1840,[5.8s + 81.9s],0.3468,0.0875,0.9946,0.9949,[1188.6s],1090.23,761.11
1860,[5.8s + 82.2s],0.3466,0.0875,0.9946,0.9950,[1230.1s],1092.49,762.70
1880,[5.8s + 82.3s],0.3463,0.0876,0.9947,0.9950,[1134.5s],1094.74,764.25
1900,[5.8s + 82.2s],0.3456,0.0874,0.9946,0.9949,[1140.2s],1096.95,765.79
1920,[5.8s + 82.2s],0.3458,0.0874,0.9946,0.9949,[1148.2s],1099.12,767.31
1940,[5.8s + 82.3s],0.3458,0.0874,0.9947,0.9951,[1272.9s],1101.26,768.80
1960,[5.8s + 82.2s],0.3461,0.0875,0.9947,0.9950,[1138.1s],1103.38,770.26
1980,[5.8s + 82.1s],0.3455,0.0872,0.9948,0.9951,[1133.9s],1105.47,771.71
2000,[5.8s + 82.0s],0.3460,0.0874,0.9948,0.9951,[1215.2s],1107.52,773.14
Epoch 1240 is the best epoch
K = 1,HR = 0.0111,NDCG = 0.0111,AUC = 0.9533
K = 2,HR = 0.0192,NDCG = 0.0162,AUC = 0.9533
K = 3,HR = 0.0264,NDCG = 0.0198,AUC = 0.9533
K = 4,HR = 0.0335,NDCG = 0.0229,AUC = 0.9533
K = 5,HR = 0.0403,NDCG = 0.0255,AUC = 0.9533
K = 6,HR = 0.0464,NDCG = 0.0277,AUC = 0.9533
K = 7,HR = 0.0519,NDCG = 0.0295,AUC = 0.9533
K = 8,HR = 0.0575,NDCG = 0.0313,AUC = 0.9533
K = 9,HR = 0.0635,NDCG = 0.0331,AUC = 0.9533
K = 10,HR = 0.0689,NDCG = 0.0346,AUC = 0.9533
K = 11,HR = 0.0742,NDCG = 0.0361,AUC = 0.9533
K = 12,HR = 0.0791,NDCG = 0.0375,AUC = 0.9533
K = 13,HR = 0.0839,NDCG = 0.0387,AUC = 0.9533
K = 14,HR = 0.0889,NDCG = 0.0400,AUC = 0.9533
K = 15,HR = 0.0936,NDCG = 0.0412,AUC = 0.9533
K = 16,HR = 0.0982,NDCG = 0.0423,AUC = 0.9533
K = 17,HR = 0.1029,NDCG = 0.0434,AUC = 0.9533
K = 18,HR = 0.1078,NDCG = 0.0446,AUC = 0.9533
K = 19,HR = 0.1123,NDCG = 0.0456,AUC = 0.9533
K = 20,HR = 0.1167,NDCG = 0.0466,AUC = 0.9533
K = 21,HR = 0.1209,NDCG = 0.0476,AUC = 0.9533
K = 22,HR = 0.1252,NDCG = 0.0485,AUC = 0.9533
K = 23,HR = 0.1292,NDCG = 0.0494,AUC = 0.9533
K = 24,HR = 0.1335,NDCG = 0.0503,AUC = 0.9533
K = 25,HR = 0.1374,NDCG = 0.0511,AUC = 0.9533
K = 26,HR = 0.1414,NDCG = 0.0520,AUC = 0.9533
K = 27,HR = 0.1453,NDCG = 0.0528,AUC = 0.9533
K = 28,HR = 0.1490,NDCG = 0.0536,AUC = 0.9533
K = 29,HR = 0.1530,NDCG = 0.0544,AUC = 0.9533
K = 30,HR = 0.1567,NDCG = 0.0551,AUC = 0.9533
K = 31,HR = 0.1607,NDCG = 0.0559,AUC = 0.9533
K = 32,HR = 0.1643,NDCG = 0.0566,AUC = 0.9533
K = 33,HR = 0.1678,NDCG = 0.0573,AUC = 0.9533
K = 34,HR = 0.1716,NDCG = 0.0581,AUC = 0.9533
K = 35,HR = 0.1753,NDCG = 0.0588,AUC = 0.9533
K = 36,HR = 0.1792,NDCG = 0.0595,AUC = 0.9533
K = 37,HR = 0.1827,NDCG = 0.0602,AUC = 0.9533
K = 38,HR = 0.1859,NDCG = 0.0608,AUC = 0.9533
K = 39,HR = 0.1894,NDCG = 0.0615,AUC = 0.9533
K = 40,HR = 0.1929,NDCG = 0.0621,AUC = 0.9533
K = 41,HR = 0.1962,NDCG = 0.0627,AUC = 0.9533
K = 42,HR = 0.1997,NDCG = 0.0634,AUC = 0.9533
K = 43,HR = 0.2028,NDCG = 0.0639,AUC = 0.9533
K = 44,HR = 0.2059,NDCG = 0.0645,AUC = 0.9533
K = 45,HR = 0.2091,NDCG = 0.0651,AUC = 0.9533
K = 46,HR = 0.2122,NDCG = 0.0656,AUC = 0.9533
K = 47,HR = 0.2153,NDCG = 0.0662,AUC = 0.9533
K = 48,HR = 0.2188,NDCG = 0.0668,AUC = 0.9533
K = 49,HR = 0.2219,NDCG = 0.0674,AUC = 0.9533
K = 50,HR = 0.2249,NDCG = 0.0679,AUC = 0.9533
K = 51,HR = 0.2280,NDCG = 0.0684,AUC = 0.9533
K = 52,HR = 0.2310,NDCG = 0.0690,AUC = 0.9533
K = 53,HR = 0.2341,NDCG = 0.0695,AUC = 0.9533
K = 54,HR = 0.2373,NDCG = 0.0700,AUC = 0.9533
K = 55,HR = 0.2399,NDCG = 0.0705,AUC = 0.9533
K = 56,HR = 0.2431,NDCG = 0.0710,AUC = 0.9533
K = 57,HR = 0.2457,NDCG = 0.0715,AUC = 0.9533
K = 58,HR = 0.2488,NDCG = 0.0720,AUC = 0.9533
K = 59,HR = 0.2514,NDCG = 0.0725,AUC = 0.9533
K = 60,HR = 0.2543,NDCG = 0.0729,AUC = 0.9533
K = 61,HR = 0.2575,NDCG = 0.0735,AUC = 0.9533
K = 62,HR = 0.2601,NDCG = 0.0739,AUC = 0.9533
K = 63,HR = 0.2627,NDCG = 0.0743,AUC = 0.9533
K = 64,HR = 0.2652,NDCG = 0.0748,AUC = 0.9533
K = 65,HR = 0.2678,NDCG = 0.0752,AUC = 0.9533
K = 66,HR = 0.2702,NDCG = 0.0756,AUC = 0.9533
K = 67,HR = 0.2724,NDCG = 0.0760,AUC = 0.9533
K = 68,HR = 0.2747,NDCG = 0.0763,AUC = 0.9533
K = 69,HR = 0.2773,NDCG = 0.0768,AUC = 0.9533
K = 70,HR = 0.2800,NDCG = 0.0772,AUC = 0.9533
K = 71,HR = 0.2826,NDCG = 0.0776,AUC = 0.9533
K = 72,HR = 0.2850,NDCG = 0.0780,AUC = 0.9533
K = 73,HR = 0.2878,NDCG = 0.0785,AUC = 0.9533
K = 74,HR = 0.2900,NDCG = 0.0788,AUC = 0.9533
