epochs,time,HR,NDCG,ACC,ACC_adv,time,P,Q
0,[4.0s + 2.2s],0.1624,0.0401,0.5002,0.9135,[52.1s],79.63,71.62
20,[4.1s + 2.2s],0.3049,0.0748,0.9706,0.9763,[53.3s],438.08,358.42
40,[4.1s + 2.2s],0.3112,0.0766,0.9755,0.9798,[56.0s],485.64,386.34
60,[4.2s + 2.3s],0.3193,0.0785,0.9783,0.9821,[55.0s],515.42,403.81
80,[4.1s + 2.3s],0.3247,0.0802,0.9805,0.9838,[55.1s],538.08,417.20
100,[4.2s + 2.3s],0.3264,0.0806,0.9825,0.9854,[55.3s],556.79,428.40
120,[4.2s + 2.2s],0.3284,0.0814,0.9840,0.9868,[54.4s],572.92,438.13
140,[4.1s + 2.3s],0.3304,0.0819,0.9853,0.9878,[55.7s],587.22,446.79
160,[4.3s + 2.3s],0.3316,0.0824,0.9863,0.9887,[55.8s],600.06,454.64
180,[4.1s + 2.3s],0.3332,0.0827,0.9872,0.9895,[54.8s],611.71,461.77
200,[4.2s + 2.3s],0.3329,0.0828,0.9884,0.9904,[55.3s],622.40,468.37
220,[4.1s + 2.3s],0.3328,0.0828,0.9889,0.9909,[56.0s],632.27,474.49
240,[4.1s + 2.3s],0.3333,0.0828,0.9894,0.9913,[55.2s],641.44,480.19
260,[4.1s + 2.3s],0.3331,0.0829,0.9900,0.9918,[55.1s],650.02,485.53
280,[4.2s + 2.3s],0.3332,0.0828,0.9907,0.9924,[55.1s],658.06,490.54
300,[4.3s + 2.3s],0.3329,0.0829,0.9909,0.9926,[55.1s],665.62,495.30
320,[4.2s + 2.3s],0.3327,0.0826,0.9914,0.9929,[54.9s],672.75,499.78
340,[4.1s + 2.3s],0.3329,0.0829,0.9918,0.9932,[55.2s],679.49,504.02
360,[4.3s + 2.3s],0.3325,0.0826,0.9921,0.9936,[55.9s],685.89,508.06
380,[4.1s + 2.3s],0.3323,0.0824,0.9924,0.9937,[54.2s],691.98,511.93
400,[4.1s + 2.3s],0.3317,0.0825,0.9927,0.9940,[54.4s],697.77,515.61
420,[4.1s + 2.3s],0.3315,0.0824,0.9929,0.9942,[54.7s],703.30,519.12
440,[4.1s + 2.3s],0.3317,0.0825,0.9931,0.9944,[54.7s],708.59,522.50
460,[4.2s + 2.3s],0.3315,0.0822,0.9932,0.9945,[54.5s],713.64,525.73
480,[4.3s + 2.2s],0.3305,0.0821,0.9934,0.9945,[54.2s],718.50,528.83
500,[4.3s + 2.3s],0.3301,0.0819,0.9937,0.9948,[54.6s],723.16,531.81
520,[4.1s + 2.3s],0.3290,0.0817,0.9937,0.9948,[54.7s],727.65,534.69
540,[4.1s + 2.3s],0.3286,0.0814,0.9939,0.9950,[55.3s],731.97,537.48
560,[4.1s + 2.3s],0.3288,0.0815,0.9940,0.9951,[54.4s],736.12,540.17
580,[4.1s + 2.3s],0.3281,0.0813,0.9943,0.9953,[55.6s],740.13,542.77
600,[4.1s + 2.2s],0.3276,0.0812,0.9944,0.9954,[54.3s],744.01,545.26
620,[4.1s + 2.3s],0.3273,0.0811,0.9945,0.9954,[53.4s],747.76,547.69
640,[4.1s + 2.3s],0.3273,0.0811,0.9946,0.9955,[56.5s],751.40,550.06
660,[4.1s + 2.3s],0.3269,0.0810,0.9948,0.9956,[55.3s],754.91,552.35
680,[4.1s + 2.3s],0.3263,0.0809,0.9948,0.9957,[54.4s],758.33,554.56
700,[4.1s + 2.2s],0.3259,0.0807,0.9949,0.9957,[54.3s],761.65,556.72
720,[4.1s + 2.3s],0.3262,0.0809,0.9950,0.9958,[55.9s],764.87,558.82
740,[4.3s + 2.3s],0.3262,0.0809,0.9950,0.9959,[55.0s],768.00,560.86
760,[4.3s + 2.3s],0.3257,0.0807,0.9952,0.9960,[55.0s],771.04,562.85
780,[4.1s + 2.3s],0.3255,0.0805,0.9951,0.9959,[54.7s],774.00,564.79
800,[4.2s + 2.3s],0.3243,0.0804,0.9952,0.9960,[55.2s],776.88,566.68
820,[4.2s + 2.3s],0.3244,0.0803,0.9953,0.9961,[54.9s],779.69,568.52
840,[4.3s + 2.3s],0.3241,0.0802,0.9954,0.9962,[54.7s],782.42,570.33
860,[4.2s + 2.2s],0.3235,0.0801,0.9954,0.9962,[54.2s],785.09,572.10
880,[4.1s + 2.3s],0.3229,0.0800,0.9956,0.9963,[55.4s],787.69,573.81
900,[4.2s + 2.3s],0.3224,0.0799,0.9955,0.9962,[53.9s],790.24,575.50
920,[4.2s + 2.3s],0.3221,0.0796,0.9955,0.9963,[54.8s],792.73,577.15
940,[4.1s + 2.2s],0.3214,0.0796,0.9956,0.9963,[55.6s],795.16,578.77
960,[4.1s + 2.3s],0.3208,0.0794,0.9956,0.9964,[54.4s],797.53,580.35
980,[4.1s + 2.3s],0.3207,0.0794,0.9957,0.9964,[54.2s],799.86,581.89
1000,[4.1s + 2.3s],0.3199,0.0793,0.9957,0.9964,[54.1s],802.14,583.40
1020,[4.2s + 2.3s],0.3195,0.0791,0.9958,0.9965,[53.4s],804.37,584.87
1040,[4.2s + 2.3s],0.3201,0.0790,0.9958,0.9965,[53.7s],806.56,586.32
1060,[4.1s + 2.3s],0.3194,0.0790,0.9959,0.9966,[57.3s],808.69,587.75
1080,[4.3s + 2.3s],0.3195,0.0790,0.9959,0.9966,[55.1s],810.79,589.15
1100,[4.1s + 2.3s],0.3192,0.0789,0.9960,0.9967,[55.2s],812.85,590.51
1120,[4.1s + 2.2s],0.3185,0.0787,0.9960,0.9967,[54.8s],814.87,591.87
1140,[4.1s + 2.3s],0.3177,0.0785,0.9960,0.9966,[53.8s],816.85,593.19
1160,[4.1s + 2.2s],0.3177,0.0786,0.9961,0.9967,[53.3s],818.79,594.48
1180,[4.2s + 2.2s],0.3173,0.0785,0.9960,0.9966,[51.2s],820.70,595.76
1200,[4.0s + 2.2s],0.3172,0.0784,0.9961,0.9967,[51.3s],822.58,597.02
1220,[4.0s + 2.2s],0.3174,0.0784,0.9961,0.9967,[51.2s],824.42,598.25
1240,[4.0s + 2.2s],0.3168,0.0783,0.9961,0.9967,[51.4s],826.24,599.47
1260,[4.0s + 2.2s],0.3169,0.0782,0.9961,0.9967,[50.4s],828.02,600.66
1280,[4.0s + 2.2s],0.3167,0.0782,0.9962,0.9968,[51.0s],829.77,601.84
1300,[4.0s + 2.2s],0.3165,0.0783,0.9962,0.9968,[52.2s],831.49,602.99
1320,[4.0s + 2.2s],0.3162,0.0782,0.9963,0.9969,[52.5s],833.19,604.13
1340,[4.0s + 2.2s],0.3168,0.0782,0.9963,0.9969,[49.3s],834.85,605.26
1360,[4.0s + 2.2s],0.3165,0.0781,0.9963,0.9969,[51.6s],836.50,606.37
1380,[4.0s + 2.2s],0.3159,0.0780,0.9964,0.9969,[50.8s],838.11,607.45
1400,[4.0s + 2.2s],0.3156,0.0779,0.9963,0.9969,[51.8s],839.70,608.52
1420,[4.0s + 2.2s],0.3151,0.0778,0.9964,0.9969,[51.2s],841.28,609.58
1440,[4.0s + 2.2s],0.3153,0.0779,0.9964,0.9970,[49.5s],842.82,610.62
1460,[4.0s + 2.2s],0.3154,0.0778,0.9965,0.9970,[51.5s],844.34,611.65
1480,[4.0s + 2.2s],0.3147,0.0778,0.9964,0.9969,[50.5s],845.84,612.67
