epochs,time,HR,NDCG,ACC,ACC_adv,time,P,Q
0,[2.0s + 1.1s],0.1059,0.0238,0.5001,0.898,[73.5s],42.31,42.59
20,[2.1s + 1.1s],0.1351,0.0354,0.9645,0.9716,[73.3s],352.13,315.57
40,[2.1s + 1.1s],0.146,0.0399,0.9742,0.9793,[73.7s],405,354.68
60,[2.1s + 1.1s],0.149,0.0413,0.9798,0.9839,[73.4s],438.2,378.86
80,[2.1s + 1.1s],0.1571,0.0412,0.9831,0.9866,[73.5s],463.16,396.75
100,[2.1s + 1.1s],0.1544,0.0382,0.9855,0.9885,[73.7s],483.21,411.17
120,[2.1s + 1.1s],0.1594,0.0398,0.9871,0.9898,[73.5s],500.05,423.23
140,[2.1s + 1.1s],0.1646,0.0404,0.9888,0.9911,[73.5s],514.64,433.58
160,[2.1s + 1.1s],0.1661,0.0417,0.9898,0.9919,[73.9s],527.44,442.67
180,[2.1s + 1.1s],0.1672,0.042,0.9906,0.9927,[74.2s],538.87,450.77
200,[2.1s + 1.1s],0.169,0.0426,0.9915,0.9934,[73.9s],549.2,458.07
220,[2.1s + 1.1s],0.17,0.0431,0.9921,0.9938,[73.3s],558.59,464.65
240,[2.1s + 1.1s],0.1714,0.0434,0.9927,0.9943,[73.9s],567.2,470.7
260,[2.1s + 1.1s],0.1727,0.0429,0.9932,0.9947,[74.0s],575.16,476.3
280,[2.1s + 1.1s],0.1741,0.0431,0.9935,0.995,[73.7s],582.55,481.46
300,[2.1s + 1.1s],0.1753,0.0431,0.9937,0.9951,[74.1s],589.43,486.3
320,[2.1s + 1.1s],0.174,0.0428,0.9942,0.9955,[74.0s],595.87,490.82
340,[2.1s + 1.1s],0.1748,0.0433,0.9944,0.9957,[73.3s],601.96,495.07
360,[2.1s + 1.1s],0.175,0.0436,0.9946,0.9959,[73.7s],607.68,499.06
380,[2.1s + 1.1s],0.1775,0.0443,0.995,0.9961,[74.4s],613.09,502.86
400,[2.1s + 1.1s],0.1784,0.0442,0.9952,0.9963,[74.2s],618.24,506.46
420,[2.1s + 1.1s],0.1777,0.0441,0.9954,0.9963,[73.9s],623.13,509.88
440,[2.1s + 1.1s],0.179,0.0442,0.9952,0.9962,[73.7s],627.79,513.14
460,[2.1s + 1.1s],0.1788,0.0438,0.9956,0.9965,[73.9s],632.23,516.26
480,[2.1s + 1.1s],0.1801,0.0443,0.9958,0.9967,[73.9s],636.48,519.23
500,[2.1s + 1.1s],0.18,0.0443,0.9958,0.9967,[73.3s],640.56,522.1
520,[2.1s + 1.1s],0.179,0.0446,0.996,0.9969,[73.9s],644.49,524.85
540,[2.1s + 1.1s],0.1809,0.0449,0.9961,0.9969,[73.7s],648.27,527.5
560,[2.1s + 1.1s],0.1815,0.0449,0.9962,0.997,[73.6s],651.9,530.03
580,[2.1s + 1.1s],0.1814,0.0451,0.9963,0.9971,[73.8s],655.4,532.49
600,[2.1s + 1.1s],0.1814,0.0452,0.9963,0.997,[73.9s],658.76,534.85
620,[2.1s + 1.1s],0.1813,0.0454,0.9965,0.9972,[73.8s],662.03,537.14
640,[2.1s + 1.1s],0.1832,0.0458,0.9966,0.9973,[73.7s],665.18,539.36
660,[2.1s + 1.1s],0.1837,0.0457,0.9966,0.9973,[73.5s],668.24,541.5
680,[2.1s + 1.1s],0.184,0.0456,0.9968,0.9975,[73.7s],671.21,543.59
700,[2.1s + 1.1s],0.1833,0.0452,0.9967,0.9974,[73.6s],674.09,545.59
720,[2.1s + 1.1s],0.1827,0.0451,0.9969,0.9975,[74.0s],676.89,547.56
740,[2.1s + 1.1s],0.1834,0.0451,0.9969,0.9976,[73.5s],679.6,549.47
760,[2.1s + 1.1s],0.1846,0.0454,0.997,0.9977,[73.4s],682.23,551.32
780,[2.1s + 1.1s],0.1844,0.0455,0.9969,0.9976,[74.0s],684.79,553.12
800,[2.1s + 1.1s],0.1842,0.0456,0.997,0.9976,[73.5s],687.29,554.88
820,[2.1s + 1.1s],0.1852,0.0458,0.9971,0.9977,[74.3s],689.73,556.6
840,[2.1s + 1.1s],0.1852,0.046,0.9971,0.9976,[73.8s],692.1,558.26
860,[2.1s + 1.1s],0.1851,0.046,0.9973,0.9978,[73.9s],694.42,559.89
880,[2.1s + 1.1s],0.1857,0.046,0.9973,0.9979,[73.5s],696.68,561.48
900,[2.1s + 1.1s],0.1856,0.0458,0.9972,0.9978,[73.8s],698.89,563.04
920,[2.1s + 1.1s],0.186,0.046,0.9974,0.9979,[73.9s],701.05,564.57
940,[2.1s + 1.1s],0.186,0.0461,0.9973,0.9979,[74.1s],703.16,566.06
960,[2.1s + 1.1s],0.1871,0.0464,0.9973,0.9979,[74.1s],705.22,567.52
980,[2.1s + 1.1s],0.1867,0.0464,0.9975,0.998,[73.8s],707.24,568.94
